order_id,order_cost,deal_category,country,email
PQI52MCU2FV,$18.79,3,Colombia,cum.sociis@aol.couk
NRG36FNO6PS,$50.78,0,Nigeria,aliquam.nisl@aol.ca
XIV54SGO9UL,$71.28,6,Australia,neque.sed@google.ca
EGQ41ZQH6ST,$42.53,8,Vietnam,vehicula.et@yahoo.net
MVH05CJI0YI,$90.93,5,Singapore,nulla.facilisis@outlook.edu
ICW90PRN2OE,$9.11,2,Germany,condimentum.donec@google.edu
IUJ35FAF4KG,$12.81,2,United States,habitant.morbi.tristique@outlook.ca
YNK54NJR7QI,$87.65,5,South Korea,rhoncus.donec@protonmail.org
NJV06PRO1KW,$69.33,7,Austria,vivamus@yahoo.org
YQW39PLE4XJ,$13.23,5,Austria,molestie.in.tempus@hotmail.couk
TSC76QUS2LI,$82.36,4,Pakistan,nunc@google.net
UYO65RYB6XP,$54.36,9,Russian Federation,vestibulum@hotmail.ca
VWN64UGH8YR,$95.51,6,Canada,est@google.ca
QOU36UNY9FC,$44.79,3,Canada,nec.malesuada.ut@yahoo.couk
GYF92GBN5NI,$60.72,7,United States,ornare.lectus@yahoo.org
XJP66NWV2RC,$76.75,9,Sweden,et.ipsum@outlook.net
QFX53PBS1UG,$16.28,4,Belgium,pede.malesuada.vel@yahoo.net
EYD18LPD5RQ,$61.13,1,Spain,dui.nec@icloud.edu
BZV48MDM4LE,$14.46,4,Turkey,nunc@yahoo.net
WWD30GBU4EK,$10.87,8,Russian Federation,ac.nulla@protonmail.couk
GRJ67YFH5QQ,$5.09,1,Mexico,bibendum.fermentum.metus@yahoo.com
HJL90SUB8VL,$33.11,2,Spain,sed@yahoo.org
ONQ85GYC6YR,$67.59,3,France,vitae@hotmail.edu
BCZ28RBA6UQ,$87.09,9,India,vitae@hotmail.couk
KRT76LTF6MI,$79.99,1,Sweden,donec@yahoo.couk
TSD34JUT3XW,$81.95,5,Vietnam,iaculis@hotmail.ca
MTK08STQ1GZ,$20.68,0,Netherlands,at.velit@protonmail.edu
OVD19DQW7OV,$77.61,3,Ukraine,nunc.quis@aol.org
GLD69QBP6PE,$29.06,3,Indonesia,ac@yahoo.net
RAS32LGD3YJ,$25.78,5,Ireland,etiam.bibendum@icloud.org
EHF71MQY9FE,$52.86,2,Costa Rica,dolor.sit.amet@yahoo.org
VMH13KHY6DJ,$31.85,8,Italy,diam@icloud.ca
UXB89JLG8SS,$4.90,5,Philippines,mollis.non@protonmail.couk
NNI07LYG5GR,$7.10,8,Nigeria,et@outlook.ca
UCT23RAB3GI,$71.42,3,Chile,felis@outlook.org
QGX69JML2AY,$32.59,9,Singapore,massa.lobortis.ultrices@hotmail.couk
DHE69AQS8WX,$1.35,4,Ukraine,aliquam.nisl@yahoo.org
DNH02WXY8AA,$9.95,1,New Zealand,facilisis.non@icloud.org
JYE96ITK7NZ,$93.14,8,Mexico,arcu@icloud.net
JDR87KNQ6TI,$20.24,2,Belgium,nan
CKK57VGC6WV,$49.18,4,Singapore,amet.ante@aol.ca
VFJ66TNS7HC,$43.82,6,Italy,lorem.fringilla.ornare@yahoo.org
UEE56PVB9HK,$26.23,8,Singapore,cum.sociis@outlook.ca
WAB82JCG0XA,$80.45,3,Singapore,tincidunt.adipiscing@yahoo.edu
DNE84CQH8OJ,$36.30,1,Canada,nunc.ac@google.edu
LTQ72DUF6DY,$86.56,3,Singapore,id@hotmail.net
JMI31EBQ9VP,$43.63,4,Mexico,nan
YSF25ATX4PE,$83.09,5,Indonesia,pede.blandit@google.couk
KLS38YMT4EI,$94.51,9,Belgium,pede.nunc@yahoo.com
UWG53CKG5XH,$16.54,9,Costa Rica,vestibulum.mauris@yahoo.com
